x y
209.32471332637877 616.9963967952318
301.3930254959849 991.5435830470143
822.4160799835389 695.9697923502104
1003.3792372287334 1083.3846223839473
1094.21731815513 207.25799098232034
796.9173235735001 704.7261722975536
1115.133945516568 202.68821349840024
1093.2265204487924 192.2966043947245
204.38589134226726 608.1357060483816
302.8006460677898 998.8411258997309
1010.3703816775168 1110.1628233196006
712.5745157025158 498.91313735029485
201.41944256020798 607.5491590829589
192.5830328073145 593.4369944030979
1096.9227427923424 210.3677397911559
287.9069305426373 994.547620183063
788.0249907390606 711.7476128732551
695.804336652917 499.26315888051107
1495.5320558515853 1510.5612478108596
1496.5768751527905 1516.1125596021102
1520.654061605277 1510.2868435207577
1491.6273926329961 1506.3411709579095
1511.2927776141346 1498.609699181659
698.0079939070961 509.2260037581609
1097.8211169807062 199.38060640119465
793.1725395643659 712.197748043277
1014.7258779704591 1096.4214068015708
201.9921458813534 604.0008565114753
308.5653233402155 996.6147117613408
1100.5603035180725 213.12737017917388
303.1519024880566 1013.227585333174
1487.5493546933835 1508.661425594225
202.42966440371876 599.6935925803837
806.9662606906796 698.6486953458335
807.2137341481813 706.5464547355357
184.73753589454577 603.2215966438728
699.4503639000512 493.68928092519633
1005.9954243260834 1105.9598682165024
1513.375783076659 1503.6906629653204
990.1639850326975 1112.397350927194
1001.9550949269508 1084.3887544797863
1505.5055470148368 1497.2646519737953
709.2734680613311 501.53990654782024
703.1860644221217 510.95160803232545
300.0597616527074 989.2418122261988
1090.377833391115 197.71584595045763
201.9222776693067 583.3483746435394
1090.3832046567932 197.32956006041573
802.9981983973838 701.9599228870287
706.8545669618151 510.11004209475817
811.2843862709441 697.0709492236806
800.029062727073 702.8376751607534
1101.6745250932863 201.6433983776501
1497.0510039791554 1505.8388890521537
192.82427897849837 594.2373799005735
694.886252509025 495.26834462900325
1012.9152245329923 1100.5220894930449
299.4363134446732 997.3199690561004
294.8366756408419 984.8074391339934
293.9223271102049 1007.0177192067223
993.7091288979581 1096.745604532092
993.0519912974594 1109.9093327669816
678.902204875162 509.4367863887252
1098.9110845471005 194.28935694263765
211.9370877186208 587.0073277438704
284.69994823331473 1008.6079536321008
1482.5602001486802 1489.2454276140943
793.9888708933229 699.5248176205324
684.6495176014286 488.22158906195045
1004.4916632049093 1090.005242348971
